report_number,collision_date,collision_time,primary_road,secondary_road,collision_day_of_week,number_of_parties,primary_collision_factor,hit_and_run,collision_type,involved_with,pedestrian_action,reporting_district,police_beat,violation,timestamp,intersection,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Zip
2022-0009042,2022-11-07,13:46:00,CENTRAL AVE,I-80 E,Monday,,Unknown,No,Not Stated,Not Stated,Not Stated,SOUTHERN,3,,2022-11-07 13:46:00,"CENTRAL AVE AND I-80 E, RICHMOND, CA",37.900894,-122.310896,0.78,intersection,Richmond,CA,Contra Costa County,94804
2022-0009054,2022-11-08,00:48:00,EL PORTAL DR,BARRANCA ST,Tuesday,,Unsafe Lane Change,Misdemeanor,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,9,21658(a),2022-11-08 00:48:00,"EL PORTAL DR AND BARRANCA ST, RICHMOND, CA",37.965637,-122.320374,0.94,intersection,El Sobrante,CA,Contra Costa County,94803
2022-0009072,2022-11-08,11:55:00,RICHMOND PKWY,LAKESIDE DR,Tuesday,,Unsafe Lane Change,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21658(a),2022-11-08 11:55:00,"RICHMOND PKWY AND LAKESIDE DR, RICHMOND, CA",37.989972,-122.328664,0.8,intersection,San Pablo,CA,Contra Costa County,94806
2022-0009074,2022-11-08,12:55:00,HARBOUR WAY,BISSELL AVE,Tuesday,,Unknown,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,6,,2022-11-08 12:55:00,"HARBOUR WAY AND BISSELL AVE, RICHMOND, CA",37.93407,-122.359999,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009090,2022-11-09,07:46:00,FULL MOON DR,BLACK FEATHER DR,Wednesday,,Improper Turning,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,9,22107,2022-11-09 07:46:00,"FULL MOON DR AND BLACK FEATHER DR, RICHMOND, CA",37.45438,-120.70603,0.71,place,Ballico,CA,Merced County,95303
2022-0009092,2022-11-09,08:03:00,23RD ST,HELLINGS AVE,Wednesday,,Improper Turning,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,22107,2022-11-09 08:03:00,"23RD ST AND HELLINGS AVE, RICHMOND, CA",37.944844,-122.347321,1.0,street_center,Richmond,CA,Contra Costa County,94804
2022-0009094,2022-11-09,09:12:00,S 20TH ST,MAINE AVE,Wednesday,,Improper Turning,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,22107,2022-11-09 09:12:00,"S 20TH ST AND MAINE AVE, RICHMOND, CA",37.928012,-122.350362,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009111,2022-11-09,14:50:00,MARINA WAY,BISSELL AVE,Wednesday,,Ped R/W Violation,No,Vehicle - Pedestrian,Pedestrian,Crossing In Crosswalk At Intersection,CENTRAL,6,21950(a),2022-11-09 14:50:00,"MARINA WAY AND BISSELL AVE, RICHMOND, CA",37.934078,-122.356181,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009112,2022-11-09,15:38:00,MACDONALD AVE,22ND ST,Wednesday,,,No,Other,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21228,2022-11-09 15:38:00,"MACDONALD AVE AND 22ND ST, RICHMOND, CA",37.93572,-122.348568,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009118,2022-11-09,18:00:00,ROOSEVELT AVE,28TH ST,Wednesday,,Unsafe Speed,Felony,Head-On,Other Motor Vehicle,No Pedestrian Involved,,7,22350,2022-11-09 18:00:00,"ROOSEVELT AVE AND 28TH ST, RICHMOND, CA",37.939174,-122.341088,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009119,2022-11-09,18:31:00,BARRETT AVE,24TH ST,Wednesday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21802(a),2022-11-09 18:31:00,"BARRETT AVE AND 24TH ST, RICHMOND, CA",37.938234,-122.345748,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009141,2022-11-09,16:00:00,ACACIA AVE,8TH ST,Wednesday,,Improper Turning,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,5,22107,2022-11-09 16:00:00,"ACACIA AVE AND 8TH ST, RICHMOND, CA",37.941752,-122.361747,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009161,2022-11-10,16:01:00,MACDONALD AVE,24TH ST,Thursday,,Unsafe Speed,Felony,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22350,2022-11-10 16:01:00,"MACDONALD AVE AND 24TH ST, RICHMOND, CA",37.935566,-122.346346,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009173,2022-11-11,03:29:00,23RD ST,BROOKS AVE,Friday,,Driving Under Influence,No,Hit Object,Fixed Object,No Pedestrian Involved,CENTRAL,7,23152(a),2022-11-11 03:29:00,"23RD ST AND BROOKS AVE, RICHMOND, CA",37.940813,-122.347462,0.76,intersection,Richmond,CA,Contra Costa County,94804
2022-0009174,2022-11-11,04:52:00,2ND ST,NEVIN AVE,Friday,,Unsafe Lane Change,Misdemeanor,Overturned,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,6,21658(a),2022-11-11 04:52:00,"2ND ST AND NEVIN AVE, RICHMOND, CA",37.936827,-122.36767,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009179,2022-11-11,11:30:00,24TH ST,MACDONALD AVE,Friday,,Following Too Closely,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,,7,21703,2022-11-11 11:30:00,"24TH ST AND MACDONALD AVE, RICHMOND, CA",37.935566,-122.346346,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009191,2022-11-11,20:45:00,HARBOUR WAY,BISSELL AVE,Friday,,Driving Under Influence,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,6,23152(a),2022-11-11 20:45:00,"HARBOUR WAY AND BISSELL AVE, RICHMOND, CA",37.93407,-122.359999,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009195,2022-11-12,20:06:00,CARLSON BLVD,BURLINGAME AVE,Saturday,,Unknown,No,Not Stated,Not Stated,Not Stated,SOUTHERN,3,,2022-11-12 20:06:00,"CARLSON BLVD AND BURLINGAME AVE, RICHMOND, CA",37.90972,-122.314974,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009208,2022-11-12,16:15:00,22ND ST,BARRETT AVE,Saturday,,Traffic Signals and Signs,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21453(a),2022-11-12 16:15:00,"22ND ST AND BARRETT AVE, RICHMOND, CA",37.938468,-122.348544,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009236,2022-11-14,05:30:00,23RD ST,GARVIN AVE,Monday,,Traffic Signals and Signs,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,7,21453(a),2022-11-14 05:30:00,"23RD ST AND GARVIN AVE, RICHMOND, CA",37.943629,-122.347471,0.79,intersection,Richmond,CA,Contra Costa County,94804
2022-0009256,2022-11-11,17:06:00,ROBERT MILLER DR,HILLTOP DR,Friday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21801(a),2022-11-11 17:06:00,"ROBERT MILLER DR AND HILLTOP DR, RICHMOND, CA",37.977786,-122.333837,0.91,intersection,San Pablo,CA,Contra Costa County,94806
2022-0009262,2022-11-14,19:29:00,BARRETT AVE,35TH ST,Monday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,,7,21802(a),2022-11-14 19:29:00,"BARRETT AVE AND 35TH ST, RICHMOND, CA",37.936773,-122.33548,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0009295,2022-11-16,08:00:00,PENNSYLVANIA AVE,HARBOUR WAY,Wednesday,,Wrong Side of Road,No,Sideswipe,Bicycle,No Pedestrian Involved,CENTRAL,5,21650,2022-11-16 08:00:00,"PENNSYLVANIA AVE AND HARBOUR WAY, RICHMOND, CA",37.942098,-122.359958,0.97,intersection,Richmond,CA,Contra Costa County,94801
2022-0009296,2022-11-16,08:25:00,18TH ST,ROOSEVELT AVE,Wednesday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,22450(a),2022-11-16 08:25:00,"18TH ST AND ROOSEVELT AVE, RICHMOND, CA",37.939965,-122.352476,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009316,2022-11-10,18:21:00,ROOSEVELT AVE,28TH ST,Thursday,,Unknown,Misdemeanor,Not Stated,Not Stated,Not Stated,NORTHERN,7,,2022-11-10 18:21:00,"ROOSEVELT AVE AND 28TH ST, RICHMOND, CA",37.939174,-122.341088,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009320,2022-11-16,22:00:00,CARLSON BLVD,CUTTING BLVD,Wednesday,,Other Hazardous Movement,No,Hit Object,Fixed Object,No Pedestrian Involved,SOUTHERN,2,21663,2022-11-16 22:00:00,"CARLSON BLVD AND CUTTING BLVD, RICHMOND, CA",37.925173,-122.338017,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009332,2022-11-17,07:33:00,CUTTING BLVD,HARBOUR WAY S,Thursday,,Improper Turning,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,22107,2022-11-17 07:33:00,"CUTTING BLVD AND HARBOUR WAY S, RICHMOND, CA",37.925213,-122.360055,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009342,2022-11-17,12:11:00,CARLSON BLVD,SAN JOSE AVE,Thursday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21801(a),2022-11-17 12:11:00,"CARLSON BLVD AND SAN JOSE AVE, RICHMOND, CA",37.904066,-122.30604,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009354,2022-11-17,19:30:00,CASTRO RANCH RD,AMEND RD,Thursday,,Improper Turning,No,Overturned,Fixed Object,No Pedestrian Involved,NORTHERN,9,22107,2022-11-17 19:30:00,"CASTRO RANCH RD AND AMEND RD, RICHMOND, CA",37.957948,-122.268862,0.76,intersection,El Sobrante,CA,Contra Costa County,94803
2022-0009356,2022-11-17,22:43:00,MAINE AVE,S 26TH ST,Thursday,,Unsafe Lane Change,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21658(a),2022-11-17 22:43:00,"MAINE AVE AND S 26TH ST, RICHMOND, CA",37.927987,-122.344686,0.92,intersection,Richmond,CA,Contra Costa County,94804
2022-0009359,2022-11-18,05:47:00,RICHMOND PKWY,LAKESIDE DR,Friday,,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,22350,2022-11-18 05:47:00,"RICHMOND PKWY AND LAKESIDE DR, RICHMOND, CA",37.989972,-122.328664,0.8,intersection,San Pablo,CA,Contra Costa County,94806
2022-0009365,2022-11-18,16:10:00,RICHMOND PKWY,HENSLEY ST,Friday,,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,5,22350,2022-11-18 16:10:00,"RICHMOND PKWY AND HENSLEY ST, RICHMOND, CA",37.946422,-122.366081,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009366,2022-11-18,16:40:00,CUTTING BLVD,S 16TH ST,Friday,,Unsafe Starting or Backing,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,22106,2022-11-18 16:40:00,"CUTTING BLVD AND S 16TH ST, RICHMOND, CA",37.925205,-122.35399,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009369,2022-11-18,19:10:00,MACDONALD AVE,3RD ST,Friday,,Ped R/W Violation,Felony,Vehicle - Pedestrian,Pedestrian,Crossing In Crosswalk At Intersection,CENTRAL,6,21950(a),2022-11-18 19:10:00,"MACDONALD AVE AND 3RD ST, RICHMOND, CA",37.935697,-122.366669,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009374,2022-11-18,22:05:00,SAN PABLO AVE,MCBRYDE AVE,Friday,,Following Too Closely,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21703,2022-11-18 22:05:00,"SAN PABLO AVE AND MCBRYDE AVE, RICHMOND, CA",37.947257,-122.330743,0.8,intersection,Richmond,CA,Contra Costa County,94805
2022-0009384,2022-11-19,09:19:00,MACDONALD AVE,37TH ST,Saturday,,Ped R/W Violation,No,Vehicle - Pedestrian,Pedestrian,Crossing In Crosswalk At Intersection,NORTHERN,7,21950(a),2022-11-19 09:19:00,"MACDONALD AVE AND 37TH ST, RICHMOND, CA",37.933836,-122.334233,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0009389,2022-11-19,10:52:00,23RD ST,BROOKS AVE,Saturday,,Unsafe Lane Change,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,7,21658(a),2022-11-19 10:52:00,"23RD ST AND BROOKS AVE, RICHMOND, CA",37.940813,-122.347462,0.76,intersection,Richmond,CA,Contra Costa County,94804
2022-0009419,2022-11-20,13:54:00,RICHMOND PKWY,SAN PABLO AVE,Sunday,,Traffic Signals and Signs,Felony,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21453(a),2022-11-20 13:54:00,"RICHMOND PKWY AND SAN PABLO AVE, RICHMOND, CA",37.991132,-122.332457,0.97,intersection,San Pablo,CA,Contra Costa County,94806
2022-0009429,2022-11-20,20:08:00,BAYVIEW AVE,CARLSON BLVD,Sunday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,,1,21453(a),2022-11-20 20:08:00,"BAYVIEW AVE AND CARLSON BLVD, RICHMOND, CA",37.914144,-122.323517,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009433,2022-11-21,02:58:00,HILLTOP DR,BLUME DR,Monday,,Unsafe Speed,No,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,8,22350,2022-11-21 02:58:00,"HILLTOP DR AND BLUME DR, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0009465,2022-11-21,23:47:00,23RD ST,BARRETT AVE,Monday,,Traffic Signals and Signs,Misdemeanor,Other,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21453(a),2022-11-21 23:47:00,"23RD ST AND BARRETT AVE, RICHMOND, CA",37.938468,-122.347523,0.91,intersection,Richmond,CA,Contra Costa County,94804
2022-0009467,2022-11-22,05:30:00,RICHMOND PKWY,LAKESIDE DR,Tuesday,,Wrong Side of Road,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21650,2022-11-22 05:30:00,"RICHMOND PKWY AND LAKESIDE DR, RICHMOND, CA",37.989972,-122.328664,0.8,intersection,San Pablo,CA,Contra Costa County,94806
2022-0009501,2022-11-23,11:24:00,22ND ST,BISSELL AVE,Wednesday,,Following Too Closely,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21703,2022-11-23 11:24:00,"22ND ST AND BISSELL AVE, RICHMOND, CA",37.934129,-122.348574,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009512,2022-11-23,21:14:00,23RD ST,BARRETT AVE,Wednesday,,Wrong Side of Road,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21651(b),2022-11-23 21:14:00,"23RD ST AND BARRETT AVE, RICHMOND, CA",37.938468,-122.347523,0.91,intersection,Richmond,CA,Contra Costa County,94804
2022-0009513,2022-11-23,22:10:00,SAN PABLO AVE,MCBRYDE AVE,Wednesday,,Unsafe Speed,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22350,2022-11-23 22:10:00,"SAN PABLO AVE AND MCBRYDE AVE, RICHMOND, CA",37.947257,-122.330743,0.8,intersection,Richmond,CA,Contra Costa County,94805
2022-0009519,2022-11-24,07:26:00,HARBOUR WAY,NEVIN AVE,Thursday,,Driving Under Influence,No,Hit Object,Fixed Object,No Pedestrian Involved,,6,23152(a),2022-11-24 07:26:00,"HARBOUR WAY AND NEVIN AVE, RICHMOND, CA",37.936828,-122.36,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009527,2022-11-24,22:11:00,MACDONALD AVE,36TH ST,Thursday,,Improper Turning,Misdemeanor,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,7,22107,2022-11-24 22:11:00,"MACDONALD AVE AND 36TH ST, RICHMOND, CA",37.93397,-122.335159,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0009537,2022-11-25,14:15:00,HUMBOLDT ST,SOLANO AVE,Friday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22450(a),2022-11-25 14:15:00,"HUMBOLDT ST AND SOLANO AVE, RICHMOND, CA",37.947523,-122.384032,0.95,place,Richmond,CA,Contra Costa County,94801
2022-0009569,2022-11-27,13:05:00,HARBOUR WAY S,CUTTING BLVD,Sunday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,21453(a),2022-11-27 13:05:00,"HARBOUR WAY S AND CUTTING BLVD, RICHMOND, CA",37.925213,-122.360055,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009572,2022-11-27,14:50:00,SAN PABLO AVE,MCBRYDE AVE,Sunday,,Improper Turning,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22107,2022-11-27 14:50:00,"SAN PABLO AVE AND MCBRYDE AVE, RICHMOND, CA",37.947257,-122.330743,0.8,intersection,Richmond,CA,Contra Costa County,94805
2022-0009582,2022-11-28,06:57:00,DORNAN DR,POSEY AVE,Monday,,Wrong Side of Road,Misdemeanor,Hit Object,Other Object,No Pedestrian Involved,SOUTHERN,1,21650,2022-11-28 06:57:00,"DORNAN DR AND POSEY AVE, RICHMOND, CA",37.921233,-122.385563,0.87,intersection,Richmond,CA,Contra Costa County,94801
2022-0009583,2022-11-28,08:54:00,HILLTOP MALL RD,ROBERT MILLER DR,Monday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21803(a),2022-11-28 08:54:00,"HILLTOP MALL RD AND ROBERT MILLER DR, RICHMOND, CA",37.977786,-122.333837,0.71,intersection,San Pablo,CA,Contra Costa County,94806
2022-0009628,2022-11-30,01:36:00,7TH ST,ELM AVE,Wednesday,,Unsafe Lane Change,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,5,21658(a),2022-11-30 01:36:00,"7TH ST AND ELM AVE, RICHMOND, CA",37.941082,-122.362756,0.98,intersection,Richmond,CA,Contra Costa County,94801
2022-0009629,2022-11-30,01:30:00,SAN PABLO AVE,GARVIN AVE,Wednesday,,Unsafe Lane Change,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,7,21658(a),2022-11-30 01:30:00,"SAN PABLO AVE AND GARVIN AVE, RICHMOND, CA",37.943795,-122.329086,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0009643,2022-11-30,14:44:00,MCBRYDE AVE,30TH ST,Wednesday,,Unsafe Lane Change,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21658(a),2022-11-30 14:44:00,"MCBRYDE AVE AND 30TH ST, RICHMOND, CA",37.94516,-122.338025,0.9,intersection,Richmond,CA,Contra Costa County,94804
2022-0009669,2022-12-01,15:32:00,BARRETT AVE,HARBOUR WAY,Thursday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,5,21801(a),2022-12-01 15:32:00,"BARRETT AVE AND HARBOUR WAY, RICHMOND, CA",37.938415,-122.359999,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009683,2022-12-02,07:17:00,S 37TH ST,STEGE AVE,Friday,,Unsafe Lane Change,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21658(a),2022-12-02 07:17:00,"S 37TH ST AND STEGE AVE, RICHMOND, CA",37.923149,-122.334013,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009691,2022-12-02,14:22:00,2ND ST,BISSELL AVE,Friday,,Improper Turning,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,6,22100(a),2022-12-02 14:22:00,"2ND ST AND BISSELL AVE, RICHMOND, CA",37.934066,-122.367672,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009719,2022-12-03,17:44:00,23RD ST,GARVIN AVE,Saturday,,Unsafe Speed,Felony,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,7,22350,2022-12-03 17:44:00,"23RD ST AND GARVIN AVE, RICHMOND, CA",37.943629,-122.347471,0.79,intersection,Richmond,CA,Contra Costa County,94804
2022-0009727,2022-12-04,08:43:00,CUTTING BLVD,S 19TH ST,Sunday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21804(a),2022-12-04 08:43:00,"CUTTING BLVD AND S 19TH ST, RICHMOND, CA",37.925198,-122.351272,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009734,2022-12-04,15:07:00,RICHMOND PKWY,W BARRETT AVE,Sunday,,Traffic Signals and Signs,No,Broadside,Motor Vehicle on Other Roadway,No Pedestrian Involved,CENTRAL,5,22450(a),2022-12-04 15:07:00,"RICHMOND PKWY AND W BARRETT AVE, RICHMOND, CA",37.938645,-122.371355,0.99,intersection,Richmond,CA,Contra Costa County,94801
2022-0009737,2022-12-04,18:58:00,22ND ST,BARRETT AVE,Sunday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21453(a),2022-12-04 18:58:00,"22ND ST AND BARRETT AVE, RICHMOND, CA",37.938468,-122.348544,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009761,2022-12-05,18:30:00,BARRETT AVE,40TH ST,Monday,,Traffic Signals and Signs,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22450(a),2022-12-05 18:30:00,"BARRETT AVE AND 40TH ST, RICHMOND, CA",37.936135,-122.331008,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0009782,2022-12-06,12:33:00,RICHMOND PKWY,ATLAS RD,Tuesday,,Other Improper Driving,No,Hit Object,Fixed Object,No Pedestrian Involved,,8,,2022-12-06 12:33:00,"RICHMOND PKWY AND ATLAS RD, RICHMOND, CA",37.992886,-122.33739,0.86,intersection,San Pablo,CA,Contra Costa County,94806
2022-0009785,2022-12-06,14:30:00,NEVIN AVE,11TH ST,Tuesday,,Unknown,No,Vehicle - Pedestrian,Pedestrian,Crossing In Crosswalk At Intersection,CENTRAL,6,,2022-12-06 14:30:00,"NEVIN AVE AND 11TH ST, RICHMOND, CA",37.935701,-122.358995,0.94,intersection,Richmond,CA,Contra Costa County,94801
2022-0009792,2022-12-06,20:45:00,23RD ST,MACDONALD AVE,Tuesday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,4,21453(a),2022-12-06 20:45:00,"23RD ST AND MACDONALD AVE, RICHMOND, CA",37.935718,-122.347547,0.88,intersection,Richmond,CA,Contra Costa County,94804
2022-0009848,2022-12-08,17:26:00,HARBOUR WAY,PENNSYLVANIA AVE,Thursday,,Ped R/W Violation,Felony,Vehicle - Pedestrian,Pedestrian,Crossing Not In Crosswalk,CENTRAL,5,21950(a),2022-12-08 17:26:00,"HARBOUR WAY AND PENNSYLVANIA AVE, RICHMOND, CA",37.942098,-122.359958,0.97,intersection,Richmond,CA,Contra Costa County,94801
2022-0009852,2022-12-08,19:00:00,SAN PABLO AVE,ROOSEVELT AVE,Thursday,,Unknown,Misdemeanor,Not Stated,Fixed Object,No Pedestrian Involved,NORTHERN,7,,2022-12-08 19:00:00,"SAN PABLO AVE AND ROOSEVELT AVE, RICHMOND, CA",37.937078,-122.325723,0.99,intersection,Richmond,CA,Contra Costa County,94805
2022-0009853,2022-12-08,21:20:00,LAKESIDE DR,RESEARCH DR,Thursday,,Pedestrian Violation,No,Vehicle - Pedestrian,Pedestrian,In Road,NORTHERN,8,21956(a),2022-12-08 21:20:00,"LAKESIDE DR AND RESEARCH DR, RICHMOND, CA",37.984608,-122.332695,1.0,intersection,San Pablo,CA,Contra Costa County,94806
2022-0009854,2022-12-08,22:02:00,S 23RD ST,CUTTING BLVD,Thursday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21453(a),2022-12-08 22:02:00,"S 23RD ST AND CUTTING BLVD, RICHMOND, CA",37.925193,-122.347665,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009869,2022-12-09,16:23:00,RICHMOND PKWY,GOODRICK AVE,Friday,,Following Too Closely,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21703,2022-12-09 16:23:00,"RICHMOND PKWY AND GOODRICK AVE, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0009876,2022-12-09,22:07:00,7TH ST,LUCAS AVE,Friday,,Driving Under Influence,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,5,23152(a),2022-12-09 22:07:00,"7TH ST AND LUCAS AVE, RICHMOND, CA",37.944445,-122.362683,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0009877,2022-12-10,00:03:00,POTRERO AVE,S 47TH ST,Saturday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,,3,22450(a),2022-12-10 00:03:00,"POTRERO AVE AND S 47TH ST, RICHMOND, CA",37.921183,-122.325414,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0009880,2022-12-10,08:59:00,RICHMOND PKWY,GIANT HWY,Saturday,,Unsafe Speed,No,Head-On,Fixed Object,No Pedestrian Involved,NORTHERN,8,22350,2022-12-10 08:59:00,"RICHMOND PKWY AND GIANT HWY, RICHMOND, CA",37.979935,-122.352789,0.74,intersection,San Pablo,CA,Contra Costa County,94806
2022-0009882,2022-12-10,11:27:00,GIANT HWY,ATLAS RD,Saturday,,Not Stated,No,Not Stated,Not Stated,Not Stated,NORTHERN,OOJ,,2022-12-10 11:27:00,"GIANT HWY AND ATLAS RD, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0009897,2022-12-11,11:55:00,GIANT RD,LAKE ST,Sunday,,Unsafe Lane Change,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,21,21658(a),2022-12-11 11:55:00,"GIANT RD AND LAKE ST, RICHMOND, CA",37.973368,-122.354602,0.8,intersection,San Pablo,CA,Contra Costa County,94806
2022-0009906,2022-12-11,19:33:00,23RD ST,RHEEM AVE,Sunday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21453(a),2022-12-11 19:33:00,"23RD ST AND RHEEM AVE, RICHMOND, CA",37.949845,-122.347421,0.78,intersection,Richmond,CA,Contra Costa County,94804
