report_number,collision_date,collision_time,primary_road,secondary_road,collision_day_of_week,number_of_parties,primary_collision_factor,hit_and_run,collision_type,involved_with,pedestrian_action,reporting_district,police_beat,violation,timestamp,intersection,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Zip
2023-0008677,2023-10-03,11:30:00,S 26TH ST,MARTIN LUTHER KING JR AVE,Tuesday,,Improper Turning,Misdemeanor,Head-On,Parked Motor Vehicle,No Pedestrian Involved,,2,22107,2023-10-03 11:30:00,"S 26TH ST AND MARTIN LUTHER KING JR AVE, RICHMOND, CA",37.816349,-122.271785,0.8,intersection,Oakland,CA,Alameda County,94612
2023-0008701,2023-10-04,17:22:00,CUTTING BLVD,S 4TH ST,Wednesday,,Driving Under Influence,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,23152(a),2023-10-04 17:22:00,"CUTTING BLVD AND S 4TH ST, RICHMOND, CA",37.925248,-122.365988,0.99,intersection,Richmond,CA,Contra Costa County,94804
2023-0008702,2023-10-04,17:38:00,GIANT HWY,ATLAS RD,Wednesday,,Improper Turning,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,OOJ,22107,2023-10-04 17:38:00,"GIANT HWY AND ATLAS RD, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2023-0008705,2023-10-04,17:21:00,TEWKSBURY AVE,CASTRO ST,Wednesday,,Driving Under Influence,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,23152(a),2023-10-04 17:21:00,"TEWKSBURY AVE AND CASTRO ST, RICHMOND, CA",37.928744,-122.387195,1.0,intersection,Richmond,CA,Contra Costa County,94801
2023-0008711,2023-10-04,22:04:00,LANCASTER DR,ABERDEEN WAY,Wednesday,,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,8,22107,2023-10-04 22:04:00,"LANCASTER DR AND ABERDEEN WAY, RICHMOND, CA",37.973526,-122.341631,0.8,intersection,San Pablo,CA,Contra Costa County,94806
2023-0008714,2023-10-04,22:49:00,S 2ND ST,CUTTING BLVD,Wednesday,,Improper Turning,Misdemeanor,Head-On,Other Object,No Pedestrian Involved,SOUTHERN,1,22107,2023-10-04 22:49:00,"S 2ND ST AND CUTTING BLVD, RICHMOND, CA",37.925256,-122.367966,1.0,intersection,Richmond,CA,Contra Costa County,94804
2023-0008722,2023-10-05,03:55:00,ROBERT MILLER DR,SAN PABLO AVE,Thursday,,Other Than Driver,No,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,8,,2023-10-05 03:55:00,"ROBERT MILLER DR AND SAN PABLO AVE, RICHMOND, CA",37.977786,-122.333837,0.52,intersection,San Pablo,CA,Contra Costa County,94806
2023-0008723,2023-09-05,08:07:00,AMADOR ST,AMADOR ST,Tuesday,,Unsafe Speed,No,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,OOJ,22350,2023-09-05 08:07:00,"AMADOR ST AND AMADOR ST, RICHMOND, CA",37.708922,-121.930747,0.79,intersection,Dublin,CA,Alameda County,94568
2023-0008749,2023-10-05,21:30:00,ABERDEEN WAY,LANCASTER DR,Thursday,,Other,No,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,8,2800(a),2023-10-05 21:30:00,"ABERDEEN WAY AND LANCASTER DR, RICHMOND, CA",37.973526,-122.341631,1.0,intersection,San Pablo,CA,Contra Costa County,94806
2023-0008784,2023-10-06,16:39:00,SAN PABLO AVE,MACDONALD AVE,Friday,,Not Stated,No,Rear-End,Other Motor Vehicle,Not In Road,NORTHERN,7,21703,2023-10-06 16:39:00,"SAN PABLO AVE AND MACDONALD AVE, RICHMOND, CA",37.932296,-122.323367,1.0,intersection,Richmond,CA,Contra Costa County,94805
2023-0008785,2023-10-06,17:21:00,CENTRAL AVE,JACUZZI ST,Friday,,Improper Turning,No,Vehicle - Pedestrian,Pedestrian,Crossing In Crosswalk At Intersection,SOUTHERN,3,22107,2023-10-06 17:21:00,"CENTRAL AVE AND JACUZZI ST, RICHMOND, CA",37.901064,-122.309806,0.82,intersection,Richmond,CA,Contra Costa County,94804
2023-0008793,2023-10-06,21:45:00,RICHMOND PKWY,GIANT RD,Friday,,Not Stated,No,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,8,22350,2023-10-06 21:45:00,"RICHMOND PKWY AND GIANT RD, RICHMOND, CA",37.979935,-122.352789,0.74,intersection,San Pablo,CA,Contra Costa County,94806
